STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,TMAX,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMIN,Measurement Flag,Quality Flag,Source Flag,Time of Observation
GHCND:USC00185111,LAUREL 3 W MD US,121.9,39.1,-76.9,19980505,67, , ,0,2400,57, , ,0,2400
GHCND:USC00185080,LA PLATA MD US,42.7,38.53333,-77,19980505,69, , ,0,1800,60, , ,0,1800
GHCND:USC00180193,ANNAPOLIS POLICE BAR MD US,7.6,38.98333,-76.5,19980505,76, , ,0,1700,54, , ,0,1700
GHCND:USC00187705,ROCKVILLE 1 NE MD US,134.1,39.1,-77.1,19980505,64, , ,0,1700,53, , ,0,1700
GHCND:USC00448737,VIENNA VA US,127.4,38.88333,-77.25,19980505,68, , ,0,1900,57, , ,0,1900
GHCND:USW00093721,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.16667,-76.68333,19980505,68, , ,0,2400,57, , ,0,2400
GHCND:USC00185111,LAUREL 3 W MD US,121.9,39.1,-76.9,19980506,74, , ,0,2400,53, , ,0,2400
GHCND:USC00185080,LA PLATA MD US,42.7,38.53333,-77,19980506,73, , ,0,1800,58, , ,0,1800
GHCND:USC00180193,ANNAPOLIS POLICE BAR MD US,7.6,38.98333,-76.5,19980506,70, , ,0,1700,60, , ,0,1700
GHCND:USC00187705,ROCKVILLE 1 NE MD US,134.1,39.1,-77.1,19980506,73, , ,0,1700,52, , ,0,1700
GHCND:USC00448737,VIENNA VA US,127.4,38.88333,-77.25,19980506,72, , ,0,1900,50, , ,0,1900
GHCND:USW00093721,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.16667,-76.68333,19980506,70, , ,0,2400,53, , ,0,2400
GHCND:USC00185111,LAUREL 3 W MD US,121.9,39.1,-76.9,19980507,72, , ,0,2400,54, , ,0,2400
GHCND:USC00185080,LA PLATA MD US,42.7,38.53333,-77,19980507,76, , ,0,1800,56, , ,0,1800
GHCND:USC00180193,ANNAPOLIS POLICE BAR MD US,7.6,38.98333,-76.5,19980507,70, , ,0,1700,61, , ,0,1700
GHCND:USC00187705,ROCKVILLE 1 NE MD US,134.1,39.1,-77.1,19980507,72, , ,0,1700,53, , ,0,1700
GHCND:USC00448737,VIENNA VA US,127.4,38.88333,-77.25,19980507,78, , ,0,1900,54, ,I,0,1900
GHCND:USW00093721,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.16667,-76.68333,19980507,71, , ,0,2400,52, , ,0,2400
GHCND:USC00185111,LAUREL 3 W MD US,121.9,39.1,-76.9,19980508,67, , ,0,2400,58, , ,0,2400
GHCND:USC00185080,LA PLATA MD US,42.7,38.53333,-77,19980508,71, , ,0,1800,61, , ,0,1800
GHCND:USC00180193,ANNAPOLIS POLICE BAR MD US,7.6,38.98333,-76.5,19980508,72, , ,0,1700,58, , ,0,1700
GHCND:USC00187705,ROCKVILLE 1 NE MD US,134.1,39.1,-77.1,19980508,67, , ,0,1700,58, , ,0,1700
GHCND:USC00448737,VIENNA VA US,127.4,38.88333,-77.25,19980508,72, , ,0,1900,59, , ,0,1900
GHCND:USW00093721,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.16667,-76.68333,19980508,67, , ,0,2400,60, , ,0,2400
GHCND:USC00185111,LAUREL 3 W MD US,121.9,39.1,-76.9,19980509,70, , ,0,2400,55, , ,0,2400
GHCND:USC00185080,LA PLATA MD US,42.7,38.53333,-77,19980509,67, , ,0,1800,58, , ,0,1800
GHCND:USC00180193,ANNAPOLIS POLICE BAR MD US,7.6,38.98333,-76.5,19980509,68, , ,0,1700,58, , ,0,1700
GHCND:USC00187705,ROCKVILLE 1 NE MD US,134.1,39.1,-77.1,19980509,67, , ,0,1700,57, , ,0,1700
GHCND:USC00448737,VIENNA VA US,127.4,38.88333,-77.25,19980509,67, , ,0,1900,56, , ,0,1900
GHCND:USW00093721,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.16667,-76.68333,19980509,69, , ,0,2400,58, , ,0,2400
GHCND:USC00185111,LAUREL 3 W MD US,121.9,39.1,-76.9,19980510,65, , ,0,2400,56, , ,0,2400
GHCND:USC00185080,LA PLATA MD US,42.7,38.53333,-77,19980510,65, , ,0,1800,58, , ,0,1800
GHCND:USC00180193,ANNAPOLIS POLICE BAR MD US,7.6,38.98333,-76.5,19980510,64, , ,0,1700,58, , ,0,1700
GHCND:USC00187705,ROCKVILLE 1 NE MD US,134.1,39.1,-77.1,19980510,63, , ,0,1700,57, , ,0,1700
GHCND:USC00448737,VIENNA VA US,127.4,38.88333,-77.25,19980510,65, , ,0,1900,56, , ,0,1900
GHCND:USW00093721,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.16667,-76.68333,19980510,64, , ,0,2400,56, , ,0,2400
GHCND:USC00185111,LAUREL 3 W MD US,121.9,39.1,-76.9,19980511,59, , ,0,2400,52, , ,0,2400
GHCND:USC00185080,LA PLATA MD US,42.7,38.53333,-77,19980511,61, , ,0,1800,55, , ,0,1800
GHCND:USC00180193,ANNAPOLIS POLICE BAR MD US,7.6,38.98333,-76.5,19980511,69, , ,0,1700,54, , ,0,1700
GHCND:USC00187705,ROCKVILLE 1 NE MD US,134.1,39.1,-77.1,19980511,58, , ,0,1700,52, , ,0,1700
GHCND:USC00448737,VIENNA VA US,127.4,38.88333,-77.25,19980511,62, , ,0,1900,53, , ,0,1900
GHCND:USW00093721,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.16667,-76.68333,19980511,59, , ,0,2400,54, , ,0,2400
GHCND:USC00185111,LAUREL 3 W MD US,121.9,39.1,-76.9,19980512,55, , ,0,2400,51, , ,0,2400
GHCND:USC00185080,LA PLATA MD US,42.7,38.53333,-77,19980512,57, , ,0,1800,53, , ,0,1800
GHCND:USC00180193,ANNAPOLIS POLICE BAR MD US,7.6,38.98333,-76.5,19980512,62, , ,0,1700,51, , ,0,1700
GHCND:USC00187705,ROCKVILLE 1 NE MD US,134.1,39.1,-77.1,19980512,54, , ,0,1700,50, , ,0,1700
GHCND:USC00448737,VIENNA VA US,127.4,38.88333,-77.25,19980512,56, , ,0,1900,51, , ,0,1900
GHCND:USW00093721,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.16667,-76.68333,19980512,57, , ,0,2400,53, , ,0,2400
GHCND:USC00185111,LAUREL 3 W MD US,121.9,39.1,-76.9,19980513,72, , ,0,2400,51, , ,0,2400
GHCND:USC00185080,LA PLATA MD US,42.7,38.53333,-77,19980513,65, , ,0,1800,50, , ,0,1800
GHCND:USC00180193,ANNAPOLIS POLICE BAR MD US,7.6,38.98333,-76.5,19980513,69, , ,0,1700,51, , ,0,1700
GHCND:USC00187705,ROCKVILLE 1 NE MD US,134.1,39.1,-77.1,19980513,71, , ,0,1700,50, , ,0,1700
GHCND:USC00448737,VIENNA VA US,127.4,38.88333,-77.25,19980513,54, , ,0,1900,48, , ,0,1900
GHCND:USW00093721,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.16667,-76.68333,19980513,68, , ,0,2400,47, , ,0,2400
GHCND:USC00185111,LAUREL 3 W MD US,121.9,39.1,-76.9,19980514,81, , ,0,2400,46, , ,0,2400
GHCND:USC00185080,LA PLATA MD US,42.7,38.53333,-77,19980514,74, , ,0,1800,45, , ,0,1800
GHCND:USC00180193,ANNAPOLIS POLICE BAR MD US,7.6,38.98333,-76.5,19980514,72, , ,0,1700,50, , ,0,1700
GHCND:USC00187705,ROCKVILLE 1 NE MD US,134.1,39.1,-77.1,19980514,78, , ,0,1700,45, , ,0,1700
GHCND:USC00448737,VIENNA VA US,127.4,38.88333,-77.25,19980514,67, , ,0,1900,47, , ,0,1900
GHCND:USW00093721,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.16667,-76.68333,19980514,78, , ,0,2400,43, , ,0,2400
GHCND:USC00185111,LAUREL 3 W MD US,121.9,39.1,-76.9,19980515,89, , ,0,2400,53, , ,0,2400
GHCND:USC00185080,LA PLATA MD US,42.7,38.53333,-77,19980515,85, , ,0,1800,49, , ,0,1800
GHCND:USC00180193,ANNAPOLIS POLICE BAR MD US,7.6,38.98333,-76.5,19980515,80, , ,0,1700,52, , ,0,1700
GHCND:USC00187705,ROCKVILLE 1 NE MD US,134.1,39.1,-77.1,19980515,84, , ,0,1700,50, , ,0,1700
GHCND:USC00448737,VIENNA VA US,127.4,38.88333,-77.25,19980515,73, , ,0,1900,49, , ,0,1900
GHCND:USW00093721,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.16667,-76.68333,19980515,87, , ,0,2400,47, , ,0,2400
GHCND:USC00185111,LAUREL 3 W MD US,121.9,39.1,-76.9,19980516,93, , ,0,2400,65, , ,0,2400
GHCND:USC00185080,LA PLATA MD US,42.7,38.53333,-77,19980516,90, , ,0,1800,58, , ,0,1800
GHCND:USC00180193,ANNAPOLIS POLICE BAR MD US,7.6,38.98333,-76.5,19980516,90, , ,0,1700,74, , ,0,1700
GHCND:USC00187705,ROCKVILLE 1 NE MD US,134.1,39.1,-77.1,19980516,91, , ,0,1700,58, , ,0,1700
GHCND:USC00448737,VIENNA VA US,127.4,38.88333,-77.25,19980516,82, , ,0,1900,55, , ,0,1900
GHCND:USW00093721,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.16667,-76.68333,19980516,92, , ,0,2400,58, , ,0,2400
GHCND:USC00185111,LAUREL 3 W MD US,121.9,39.1,-76.9,19980517,89, , ,0,2400,69, , ,0,2400
GHCND:USC00185080,LA PLATA MD US,42.7,38.53333,-77,19980517,88, , ,0,1800,64, , ,0,1800
GHCND:USC00180193,ANNAPOLIS POLICE BAR MD US,7.6,38.98333,-76.5,19980517,80, ,I,0,1700,75, , ,0,1700
GHCND:USC00187705,ROCKVILLE 1 NE MD US,134.1,39.1,-77.1,19980517,85, , ,0,1700,68, , ,0,1700
GHCND:USC00448737,VIENNA VA US,127.4,38.88333,-77.25,19980517,87, , ,0,1900,58, , ,0,1900
GHCND:USW00093721,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.16667,-76.68333,19980517,86, , ,0,2400,61, , ,0,2400
GHCND:USC00185111,LAUREL 3 W MD US,121.9,39.1,-76.9,19980518,88, , ,0,2400,62, , ,0,2400
GHCND:USC00185080,LA PLATA MD US,42.7,38.53333,-77,19980518,85, , ,0,1800,58, , ,0,1800
GHCND:USC00180193,ANNAPOLIS POLICE BAR MD US,7.6,38.98333,-76.5,19980518,89, , ,0,1700,63, , ,0,1700
GHCND:USC00187705,ROCKVILLE 1 NE MD US,134.1,39.1,-77.1,19980518,84, , ,0,1700,63, , ,0,1700
GHCND:USC00448737,VIENNA VA US,127.4,38.88333,-77.25,19980518,82, , ,0,1900,56, , ,0,1900
GHCND:USW00093721,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.16667,-76.68333,19980518,86, , ,0,2400,53, , ,0,2400
GHCND:USC00185111,LAUREL 3 W MD US,121.9,39.1,-76.9,19980519,91, , ,0,2400,65, , ,0,2400
GHCND:USC00185080,LA PLATA MD US,42.7,38.53333,-77,19980519,92, , ,0,1800,58, , ,0,1800
GHCND:USC00180193,ANNAPOLIS POLICE BAR MD US,7.6,38.98333,-76.5,19980519,92, , ,0,1700,66, , ,0,1700
GHCND:USC00187705,ROCKVILLE 1 NE MD US,134.1,39.1,-77.1,19980519,90, , ,0,1700,66, , ,0,1700
GHCND:USC00448737,VIENNA VA US,127.4,38.88333,-77.25,19980519,82, , ,0,1900,59, , ,0,1900
GHCND:USW00093721,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.16667,-76.68333,19980519,91, , ,0,2400,62, , ,0,2400
GHCND:USC00185111,LAUREL 3 W MD US,121.9,39.1,-76.9,19980520,89, , ,0,2400,79, ,I,0,2400
GHCND:USC00185080,LA PLATA MD US,42.7,38.53333,-77,19980520,87, , ,0,1800,64, , ,0,1800
GHCND:USC00180193,ANNAPOLIS POLICE BAR MD US,7.6,38.98333,-76.5,19980520,92, , ,0,1700,45, , ,0,1700
GHCND:USC00187705,ROCKVILLE 1 NE MD US,134.1,39.1,-77.1,19980520,87, , ,0,1700,70, , ,0,1700
GHCND:USC00448737,VIENNA VA US,127.4,38.88333,-77.25,19980520,87, , ,0,1900,59, , ,0,1900
GHCND:USW00093721,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.16667,-76.68333,19980520,90, , ,0,2400,65, , ,0,2400
GHCND:USC00185111,LAUREL 3 W MD US,121.9,39.1,-76.9,19980521,85, , ,0,2400,67, , ,0,2400
GHCND:USC00185080,LA PLATA MD US,42.7,38.53333,-77,19980521,82, ,I,0,1800,60, , ,0,1800
GHCND:USC00180193,ANNAPOLIS POLICE BAR MD US,7.6,38.98333,-76.5,19980521,89, , ,0,1700,68, , ,0,1700
GHCND:USC00187705,ROCKVILLE 1 NE MD US,134.1,39.1,-77.1,19980521,81, , ,0,1700,63, , ,0,1700
GHCND:USC00448737,VIENNA VA US,127.4,38.88333,-77.25,19980521,84, , ,0,1900,68, , ,0,1900
GHCND:USW00093721,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.16667,-76.68333,19980521,86, , ,0,2400,63, , ,0,2400
GHCND:USC00185111,LAUREL 3 W MD US,121.9,39.1,-76.9,19980522,74, , ,0,2400,53, , ,0,2400
GHCND:USC00185080,LA PLATA MD US,42.7,38.53333,-77,19980522,83, , ,0,1800,56, , ,0,1800
GHCND:USC00180193,ANNAPOLIS POLICE BAR MD US,7.6,38.98333,-76.5,19980522,86, , ,0,1700,56, , ,0,1700
GHCND:USC00187705,ROCKVILLE 1 NE MD US,134.1,39.1,-77.1,19980522,72, , ,0,1700,54, , ,0,1700
GHCND:USC00448737,VIENNA VA US,127.4,38.88333,-77.25,19980522,80, , ,0,1900,51, , ,0,1900
GHCND:USW00093721,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.16667,-76.68333,19980522,73, , ,0,2400,48, , ,0,2400
GHCND:USC00185111,LAUREL 3 W MD US,121.9,39.1,-76.9,19980523,74, , ,0,2400,54, , ,0,2400
